tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 97.04; Multnomah County; Oregon,4645,51602,1016,358,41,051,009704,1374,0.26055312954876275,1.0,4645.0,35,census_api
Census Tract 98.01; Multnomah County; Oregon,3833,55754,459,1020,41,051,009801,1479,0.6896551724137931,1.0,3833.0,35,census_api
Census Tract 98.03; Multnomah County; Oregon,7899,49185,1261,1514,41,051,009803,2775,0.5455855855855856,1.0,7899.0,35,census_api
Census Tract 98.04; Multnomah County; Oregon,3347,77587,679,464,41,051,009804,1143,0.40594925634295714,1.0,3347.0,35,census_api
Census Tract 99.03; Multnomah County; Oregon,7758,121366,2262,320,41,051,009903,2582,0.12393493415956623,1.0,7758.0,35,census_api
Census Tract 99.04; Multnomah County; Oregon,3527,71622,878,640,41,051,009904,1518,0.42160737812911725,1.0,3527.0,35,census_api
Census Tract 99.05; Multnomah County; Oregon,3068,89676,863,342,41,051,009905,1205,0.2838174273858921,1.0,3068.0,35,census_api
Census Tract 99.06; Multnomah County; Oregon,4025,122415,1344,179,41,051,009906,1523,0.1175311884438608,1.0,4025.0,35,census_api
Census Tract 99.07; Multnomah County; Oregon,5597,90530,1547,593,41,051,009907,2140,0.27710280373831775,1.0,5597.0,35,census_api
Census Tract 100.01; Multnomah County; Oregon,5876,43214,791,1849,41,051,010001,2640,0.7003787878787879,1.0,5876.0,35,census_api
Census Tract 100.02; Multnomah County; Oregon,5543,85288,1317,840,41,051,010002,2157,0.3894297635605007,1.0,5543.0,35,census_api
Census Tract 101.01; Multnomah County; Oregon,5525,59922,856,1139,41,051,010101,1995,0.5709273182957394,1.0,5525.0,35,census_api
Census Tract 101.02; Multnomah County; Oregon,4326,77273,688,1094,41,051,010102,1782,0.6139169472502806,1.0,4326.0,35,census_api
Census Tract 102; Multnomah County; Oregon,7520,95268,1965,786,41,051,010200,2751,0.2857142857142857,1.0,7520.0,35,census_api
Census Tract 103.03; Multnomah County; Oregon,5552,73321,1145,877,41,051,010303,2022,0.43372898120672604,1.0,5552.0,35,census_api
Census Tract 103.04; Multnomah County; Oregon,5051,65208,837,795,41,051,010304,1632,0.48713235294117646,1.0,5051.0,35,census_api
Census Tract 103.05; Multnomah County; Oregon,3410,76250,990,327,41,051,010305,1317,0.24829157175398633,1.0,3410.0,35,census_api
Census Tract 103.06; Multnomah County; Oregon,5556,94576,1306,428,41,051,010306,1734,0.24682814302191464,1.0,5556.0,35,census_api
Census Tract 104.02; Multnomah County; Oregon,6203,119291,1523,308,41,051,010402,1831,0.16821409066084106,1.0,6203.0,35,census_api
Census Tract 104.05; Multnomah County; Oregon,5872,68825,1146,1363,41,051,010405,2509,0.543244320446393,1.0,5872.0,35,census_api
Census Tract 104.07; Multnomah County; Oregon,5893,93581,1184,754,41,051,010407,1938,0.3890608875128999,1.0,5893.0,35,census_api
Census Tract 104.08; Multnomah County; Oregon,7664,58235,1404,1308,41,051,010408,2712,0.4823008849557522,1.0,7664.0,35,census_api
Census Tract 104.10; Multnomah County; Oregon,4814,46236,655,1424,41,051,010410,2079,0.684944684944685,1.0,4814.0,35,census_api
Census Tract 104.11; Multnomah County; Oregon,3707,58022,697,668,41,051,010411,1365,0.48937728937728936,1.0,3707.0,35,census_api
Census Tract 104.12; Multnomah County; Oregon,3108,132007,837,170,41,051,010412,1007,0.16881827209533268,1.0,3108.0,35,census_api
Census Tract 104.13; Multnomah County; Oregon,5128,96925,1157,632,41,051,010413,1789,0.35326998323085523,1.0,5128.0,35,census_api
Census Tract 105; Multnomah County; Oregon,3863,108971,1149,141,41,051,010500,1290,0.10930232558139535,1.0,3863.0,35,census_api
Census Tract 106.01; Multnomah County; Oregon,1502,33625,268,908,41,051,010601,1176,0.7721088435374149,1.0,1502.0,35,census_api
Census Tract 106.02; Multnomah County; Oregon,1963,-666666666,26,1197,41,051,010602,1223,0.9787408013082584,1.0,1963.0,35,census_api
