tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 4048.06; Los Angeles County; California,5862,76555,812,707,06,037,404806,1519,0.46543778801843316,1.0,5862.0,35,census_api
Census Tract 4049.01; Los Angeles County; California,5640,91364,835,501,06,037,404901,1336,0.375,1.0,5640.0,35,census_api
Census Tract 4049.02; Los Angeles County; California,3358,78056,710,160,06,037,404902,870,0.1839080459770115,1.0,3358.0,35,census_api
Census Tract 4049.03; Los Angeles County; California,2520,71023,409,224,06,037,404903,633,0.353870458135861,1.0,2520.0,35,census_api
Census Tract 4050.01; Los Angeles County; California,5621,77969,1076,281,06,037,405001,1357,0.20707442888725128,1.0,5621.0,35,census_api
Census Tract 4050.02; Los Angeles County; California,3346,69609,524,213,06,037,405002,737,0.28900949796472186,1.0,3346.0,35,census_api
Census Tract 4051.01; Los Angeles County; California,5120,74400,811,449,06,037,405101,1260,0.35634920634920636,1.0,5120.0,35,census_api
Census Tract 4051.02; Los Angeles County; California,4902,65119,735,717,06,037,405102,1452,0.493801652892562,1.0,4902.0,35,census_api
Census Tract 4052.01; Los Angeles County; California,5307,66563,801,642,06,037,405201,1443,0.44490644490644493,1.0,5307.0,35,census_api
Census Tract 4052.02; Los Angeles County; California,4631,71835,627,500,06,037,405202,1127,0.44365572315882873,1.0,4631.0,35,census_api
Census Tract 4052.03; Los Angeles County; California,3086,89464,497,200,06,037,405203,697,0.28694404591104733,1.0,3086.0,35,census_api
Census Tract 4053.01; Los Angeles County; California,3108,76250,475,495,06,037,405301,970,0.5103092783505154,1.0,3108.0,35,census_api
Census Tract 4053.02; Los Angeles County; California,5650,92706,878,732,06,037,405302,1610,0.4546583850931677,1.0,5650.0,35,census_api
Census Tract 4054; Los Angeles County; California,4807,107411,999,236,06,037,405400,1235,0.1910931174089069,1.0,4807.0,35,census_api
Census Tract 4055; Los Angeles County; California,6333,88472,1302,532,06,037,405500,1834,0.2900763358778626,1.0,6333.0,35,census_api
Census Tract 4056; Los Angeles County; California,5613,105750,1234,472,06,037,405600,1706,0.27667057444314186,1.0,5613.0,35,census_api
Census Tract 4057.01; Los Angeles County; California,3839,99101,681,386,06,037,405701,1067,0.36176194939081535,1.0,3839.0,35,census_api
Census Tract 4057.02; Los Angeles County; California,5319,92663,992,496,06,037,405702,1488,0.3333333333333333,1.0,5319.0,35,census_api
Census Tract 4058; Los Angeles County; California,5590,92217,1162,552,06,037,405800,1714,0.3220536756126021,1.0,5590.0,35,census_api
Census Tract 4059; Los Angeles County; California,4212,75951,900,385,06,037,405900,1285,0.29961089494163423,1.0,4212.0,35,census_api
Census Tract 4060; Los Angeles County; California,5345,92577,1113,420,06,037,406000,1533,0.273972602739726,1.0,5345.0,35,census_api
Census Tract 4061.01; Los Angeles County; California,3125,78625,480,742,06,037,406101,1222,0.6072013093289689,1.0,3125.0,35,census_api
Census Tract 4061.03; Los Angeles County; California,8173,80590,859,1861,06,037,406103,2720,0.6841911764705882,1.0,8173.0,35,census_api
