tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 77; New York County; New York,5706,161094,1023,2349,36,061,007700,3372,0.6966192170818505,1.0,5706.0,35,census_api
Census Tract 78; New York County; New York,9023,149915,1218,3603,36,061,007800,4821,0.747355320472931,1.0,9023.0,35,census_api
Census Tract 79; New York County; New York,4211,127188,763,1698,36,061,007900,2461,0.6899634295002032,1.0,4211.0,35,census_api
Census Tract 80; New York County; New York,5137,163454,1416,1471,36,061,008000,2887,0.5095254589539314,1.0,5137.0,35,census_api
Census Tract 81; New York County; New York,6639,156265,1474,2524,36,061,008100,3998,0.6313156578289144,1.0,6639.0,35,census_api
Census Tract 82; New York County; New York,3551,222273,833,1017,36,061,008200,1850,0.5497297297297298,1.0,3551.0,35,census_api
Census Tract 83; New York County; New York,3798,70986,350,1821,36,061,008300,2171,0.8387839705204975,1.0,3798.0,35,census_api
Census Tract 84; New York County; New York,1590,250001,269,544,36,061,008400,813,0.6691266912669127,1.0,1590.0,35,census_api
Census Tract 86.01; New York County; New York,3127,161548,376,1274,36,061,008601,1650,0.7721212121212121,1.0,3127.0,35,census_api
Census Tract 86.03; New York County; New York,4765,215981,1796,754,36,061,008603,2550,0.29568627450980395,1.0,4765.0,35,census_api
Census Tract 87; New York County; New York,6133,136620,1036,2561,36,061,008700,3597,0.7119822073950515,1.0,6133.0,35,census_api
Census Tract 88; New York County; New York,7491,117442,1638,3162,36,061,008800,4800,0.65875,1.0,7491.0,35,census_api
Census Tract 89; New York County; New York,6314,95355,884,2317,36,061,008900,3201,0.7238363011558888,1.0,6314.0,35,census_api
Census Tract 90; New York County; New York,6947,149063,1135,3065,36,061,009000,4200,0.7297619047619047,1.0,6947.0,35,census_api
Census Tract 91; New York County; New York,6654,188867,1098,2563,36,061,009100,3661,0.7000819448238186,1.0,6654.0,35,census_api
Census Tract 92; New York County; New York,1436,166734,186,717,36,061,009200,903,0.7940199335548173,1.0,1436.0,35,census_api
Census Tract 93; New York County; New York,9632,94441,2486,3037,36,061,009300,5523,0.5498823103385841,1.0,9632.0,35,census_api
Census Tract 94; New York County; New York,89,171875,4,32,36,061,009400,36,0.8888888888888888,1.0,89.0,35,census_api
Census Tract 95; New York County; New York,3217,176944,399,943,36,061,009500,1342,0.702682563338301,1.0,3217.0,35,census_api
Census Tract 96; New York County; New York,310,-666666666,52,117,36,061,009600,169,0.6923076923076923,1.0,310.0,35,census_api
Census Tract 97; New York County; New York,4565,67218,1458,1256,36,061,009700,2714,0.4627855563743552,1.0,4565.0,35,census_api
Census Tract 98; New York County; New York,8116,124433,1303,3014,36,061,009800,4317,0.6981700254806579,1.0,8116.0,35,census_api
Census Tract 99.01; New York County; New York,1800,250001,265,637,36,061,009901,902,0.7062084257206208,1.0,1800.0,35,census_api
Census Tract 99.02; New York County; New York,3057,148706,20,1991,36,061,009902,2011,0.9900546991546494,1.0,3057.0,35,census_api
Census Tract 99.03; New York County; New York,916,175333,15,527,36,061,009903,542,0.9723247232472325,1.0,916.0,35,census_api
Census Tract 100; New York County; New York,1636,103417,194,897,36,061,010000,1091,0.8221814848762603,1.0,1636.0,35,census_api
Census Tract 101; New York County; New York,1824,97242,3,1040,36,061,010100,1043,0.99712368168744,1.0,1824.0,35,census_api
Census Tract 102; New York County; New York,243,91157,57,103,36,061,010200,160,0.64375,1.0,243.0,35,census_api
Census Tract 103; New York County; New York,2648,103838,72,1411,36,061,010300,1483,0.9514497639919083,1.0,2648.0,35,census_api
Census Tract 104; New York County; New York,741,181333,225,277,36,061,010400,502,0.5517928286852589,1.0,741.0,35,census_api
Census Tract 106.01; New York County; New York,7366,224898,3052,1106,36,061,010601,4158,0.265993265993266,1.0,7366.0,35,census_api
Census Tract 106.02; New York County; New York,4992,190685,448,1685,36,061,010602,2133,0.7899671823722456,1.0,4992.0,35,census_api
Census Tract 108.01; New York County; New York,3164,169293,660,1071,36,061,010801,1731,0.6187175043327556,1.0,3164.0,35,census_api
Census Tract 108.02; New York County; New York,4352,131171,960,1238,36,061,010802,2198,0.5632393084622384,1.0,4352.0,35,census_api
Census Tract 108.03; New York County; New York,1876,160111,597,351,36,061,010803,948,0.370253164556962,1.0,1876.0,35,census_api
Census Tract 109; New York County; New York,210,146042,22,65,36,061,010900,87,0.7471264367816092,1.0,210.0,35,census_api
Census Tract 110; New York County; New York,7303,163371,691,3243,36,061,011000,3934,0.8243518047788511,1.0,7303.0,35,census_api
Census Tract 111; New York County; New York,4899,102297,323,2501,36,061,011100,2824,0.8856232294617564,1.0,4899.0,35,census_api
Census Tract 112.01; New York County; New York,936,198750,161,369,36,061,011201,530,0.6962264150943396,1.0,936.0,35,census_api
Census Tract 112.02; New York County; New York,488,198000,216,62,36,061,011202,278,0.22302158273381295,1.0,488.0,35,census_api
Census Tract 112.03; New York County; New York,1076,204375,322,260,36,061,011203,582,0.44673539518900346,1.0,1076.0,35,census_api
Census Tract 113; New York County; New York,137,82500,22,24,36,061,011300,46,0.5217391304347826,1.0,137.0,35,census_api
Census Tract 114.01; New York County; New York,1066,250001,219,363,36,061,011401,582,0.6237113402061856,1.0,1066.0,35,census_api
Census Tract 114.02; New York County; New York,2371,176667,702,416,36,061,011402,1118,0.37209302325581395,1.0,2371.0,35,census_api
