tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 6.01; Miami-Dade County; Florida,3831,70134,878,313,12,086,000601,1191,0.26280436607892527,1.0,3831.0,35,census_api
Census Tract 6.02; Miami-Dade County; Florida,5256,69712,1371,298,12,086,000602,1669,0.17855002995805871,1.0,5256.0,35,census_api
Census Tract 6.03; Miami-Dade County; Florida,4875,71563,919,629,12,086,000603,1548,0.40633074935400515,1.0,4875.0,35,census_api
Census Tract 6.05; Miami-Dade County; Florida,5047,83550,1168,243,12,086,000605,1411,0.17221828490432317,1.0,5047.0,35,census_api
Census Tract 6.07; Miami-Dade County; Florida,4497,41207,883,657,12,086,000607,1540,0.4266233766233766,1.0,4497.0,35,census_api
Census Tract 6.09; Miami-Dade County; Florida,3478,31809,330,934,12,086,000609,1264,0.7389240506329114,1.0,3478.0,35,census_api
Census Tract 6.10; Miami-Dade County; Florida,2865,57943,444,482,12,086,000610,926,0.5205183585313174,1.0,2865.0,35,census_api
Census Tract 6.11; Miami-Dade County; Florida,2604,49449,399,415,12,086,000611,814,0.5098280098280098,1.0,2604.0,35,census_api
Census Tract 6.12; Miami-Dade County; Florida,3032,71333,677,227,12,086,000612,904,0.25110619469026546,1.0,3032.0,35,census_api
Census Tract 7.05; Miami-Dade County; Florida,4768,31477,697,1398,12,086,000705,2095,0.6673031026252983,1.0,4768.0,35,census_api
Census Tract 7.10; Miami-Dade County; Florida,5148,30938,115,1827,12,086,000710,1942,0.9407826982492276,1.0,5148.0,35,census_api
Census Tract 7.11; Miami-Dade County; Florida,5887,41429,632,1360,12,086,000711,1992,0.6827309236947792,1.0,5887.0,35,census_api
Census Tract 7.12; Miami-Dade County; Florida,2194,40670,205,640,12,086,000712,845,0.757396449704142,1.0,2194.0,35,census_api
Census Tract 7.13; Miami-Dade County; Florida,3063,24479,430,1001,12,086,000713,1431,0.6995108315863033,1.0,3063.0,35,census_api
Census Tract 7.14; Miami-Dade County; Florida,4851,40619,618,1002,12,086,000714,1620,0.6185185185185185,1.0,4851.0,35,census_api
Census Tract 7.15; Miami-Dade County; Florida,3591,61797,680,370,12,086,000715,1050,0.3523809523809524,1.0,3591.0,35,census_api
Census Tract 7.16; Miami-Dade County; Florida,2671,61607,640,210,12,086,000716,850,0.24705882352941178,1.0,2671.0,35,census_api
Census Tract 7.17; Miami-Dade County; Florida,2466,55345,744,142,12,086,000717,886,0.16027088036117382,1.0,2466.0,35,census_api
Census Tract 7.18; Miami-Dade County; Florida,4048,57411,603,727,12,086,000718,1330,0.5466165413533834,1.0,4048.0,35,census_api
Census Tract 7.19; Miami-Dade County; Florida,1209,27639,254,185,12,086,000719,439,0.4214123006833713,1.0,1209.0,35,census_api
Census Tract 7.20; Miami-Dade County; Florida,3526,37548,519,751,12,086,000720,1270,0.5913385826771653,1.0,3526.0,35,census_api
Census Tract 8.04; Miami-Dade County; Florida,4272,50614,599,924,12,086,000804,1523,0.6066973079448457,1.0,4272.0,35,census_api
Census Tract 8.05; Miami-Dade County; Florida,5349,55729,785,852,12,086,000805,1637,0.5204642638973732,1.0,5349.0,35,census_api
Census Tract 8.06; Miami-Dade County; Florida,4202,41439,395,1211,12,086,000806,1606,0.7540473225404732,1.0,4202.0,35,census_api
Census Tract 8.07; Miami-Dade County; Florida,4072,35560,182,1439,12,086,000807,1621,0.8877236273904997,1.0,4072.0,35,census_api
Census Tract 8.08; Miami-Dade County; Florida,4041,42100,499,979,12,086,000808,1478,0.6623815967523681,1.0,4041.0,35,census_api
Census Tract 9.03; Miami-Dade County; Florida,3626,44833,523,565,12,086,000903,1088,0.5193014705882353,1.0,3626.0,35,census_api
Census Tract 9.04; Miami-Dade County; Florida,2474,47763,592,162,12,086,000904,754,0.21485411140583555,1.0,2474.0,35,census_api
Census Tract 9.05; Miami-Dade County; Florida,3606,62000,620,384,12,086,000905,1004,0.38247011952191234,1.0,3606.0,35,census_api
Census Tract 9.06; Miami-Dade County; Florida,1631,48214,320,232,12,086,000906,552,0.42028985507246375,1.0,1631.0,35,census_api
Census Tract 9.07; Miami-Dade County; Florida,1802,55293,321,208,12,086,000907,529,0.3931947069943289,1.0,1802.0,35,census_api
Census Tract 9.08; Miami-Dade County; Florida,3561,59034,756,207,12,086,000908,963,0.21495327102803738,1.0,3561.0,35,census_api
