tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 112.03; Fulton County; Georgia,2530,51917,352,499,13,121,011203,851,0.5863689776733255,1.0,2530.0,35,census_api
Census Tract 112.04; Fulton County; Georgia,1361,75625,200,504,13,121,011204,704,0.7159090909090909,1.0,1361.0,35,census_api
Census Tract 113.01; Fulton County; Georgia,4951,78880,1301,516,13,121,011301,1817,0.28398458998348924,1.0,4951.0,35,census_api
Census Tract 113.06; Fulton County; Georgia,3050,52554,376,985,13,121,011306,1361,0.7237325495958854,1.0,3050.0,35,census_api
Census Tract 113.07; Fulton County; Georgia,5185,42510,238,1850,13,121,011307,2088,0.8860153256704981,1.0,5185.0,35,census_api
Census Tract 113.08; Fulton County; Georgia,1913,46327,166,659,13,121,011308,825,0.7987878787878788,1.0,1913.0,35,census_api
Census Tract 113.09; Fulton County; Georgia,3467,74489,782,991,13,121,011309,1773,0.5589396503102086,1.0,3467.0,35,census_api
Census Tract 113.10; Fulton County; Georgia,5434,51408,648,1373,13,121,011310,2021,0.6793666501731815,1.0,5434.0,35,census_api
Census Tract 114.16; Fulton County; Georgia,5258,144444,1888,148,13,121,011416,2036,0.07269155206286837,1.0,5258.0,35,census_api
Census Tract 114.17; Fulton County; Georgia,4763,110648,1777,400,13,121,011417,2177,0.18373909049150206,1.0,4763.0,35,census_api
Census Tract 114.19; Fulton County; Georgia,5955,149982,2336,426,13,121,011419,2762,0.15423606082548877,1.0,5955.0,35,census_api
Census Tract 114.21; Fulton County; Georgia,5717,66923,701,1247,13,121,011421,1948,0.6401437371663244,1.0,5717.0,35,census_api
Census Tract 114.22; Fulton County; Georgia,3629,114220,1141,476,13,121,011422,1617,0.2943722943722944,1.0,3629.0,35,census_api
Census Tract 114.23; Fulton County; Georgia,6153,153720,1908,346,13,121,011423,2254,0.15350488021295475,1.0,6153.0,35,census_api
Census Tract 114.24; Fulton County; Georgia,6325,128839,1952,249,13,121,011424,2201,0.11313039527487506,1.0,6325.0,35,census_api
Census Tract 114.26; Fulton County; Georgia,2364,131875,627,100,13,121,011426,727,0.1375515818431912,1.0,2364.0,35,census_api
Census Tract 114.28; Fulton County; Georgia,2611,152414,951,13,13,121,011428,964,0.013485477178423237,1.0,2611.0,35,census_api
Census Tract 114.29; Fulton County; Georgia,5340,128607,1507,376,13,121,011429,1883,0.19968135953266064,1.0,5340.0,35,census_api
Census Tract 114.30; Fulton County; Georgia,3887,48167,130,1330,13,121,011430,1460,0.910958904109589,1.0,3887.0,35,census_api
Census Tract 114.31; Fulton County; Georgia,4092,103775,360,309,13,121,011431,669,0.4618834080717489,1.0,4092.0,35,census_api
Census Tract 114.32; Fulton County; Georgia,4095,87059,451,1161,13,121,011432,1612,0.7202233250620348,1.0,4095.0,35,census_api
Census Tract 114.33; Fulton County; Georgia,3038,165500,1032,30,13,121,011433,1062,0.02824858757062147,1.0,3038.0,35,census_api
Census Tract 114.34; Fulton County; Georgia,3597,82487,1008,423,13,121,011434,1431,0.29559748427672955,1.0,3597.0,35,census_api
Census Tract 114.35; Fulton County; Georgia,3911,92451,1033,647,13,121,011435,1680,0.38511904761904764,1.0,3911.0,35,census_api
Census Tract 114.36; Fulton County; Georgia,3066,180750,1076,0,13,121,011436,1076,0.0,1.0,3066.0,35,census_api
Census Tract 114.37; Fulton County; Georgia,2909,101263,629,725,13,121,011437,1354,0.5354505169867061,1.0,2909.0,35,census_api
Census Tract 114.38; Fulton County; Georgia,5588,112381,1040,1174,13,121,011438,2214,0.5302619692863595,1.0,5588.0,35,census_api
Census Tract 114.39; Fulton County; Georgia,4020,117422,1271,288,13,121,011439,1559,0.18473380372033354,1.0,4020.0,35,census_api
Census Tract 114.40; Fulton County; Georgia,2407,180917,729,134,13,121,011440,863,0.1552723059096176,1.0,2407.0,35,census_api
Census Tract 114.41; Fulton County; Georgia,3651,119893,999,460,13,121,011441,1459,0.315284441398218,1.0,3651.0,35,census_api
Census Tract 114.42; Fulton County; Georgia,1950,116193,382,469,13,121,011442,851,0.5511163337250293,1.0,1950.0,35,census_api
Census Tract 114.43; Fulton County; Georgia,3284,173036,722,337,13,121,011443,1059,0.3182247403210576,1.0,3284.0,35,census_api
Census Tract 114.44; Fulton County; Georgia,3589,171339,1541,0,13,121,011444,1541,0.0,1.0,3589.0,35,census_api
Census Tract 114.45; Fulton County; Georgia,2758,131477,903,127,13,121,011445,1030,0.12330097087378641,1.0,2758.0,35,census_api
Census Tract 114.46; Fulton County; Georgia,2969,202059,982,0,13,121,011446,982,0.0,1.0,2969.0,35,census_api
Census Tract 115.05; Fulton County; Georgia,4290,183000,1296,28,13,121,011505,1324,0.021148036253776436,1.0,4290.0,35,census_api
Census Tract 115.07; Fulton County; Georgia,4333,245139,1291,9,13,121,011507,1300,0.006923076923076923,1.0,4333.0,35,census_api
Census Tract 115.08; Fulton County; Georgia,5379,250001,1748,7,13,121,011508,1755,0.003988603988603989,1.0,5379.0,35,census_api
Census Tract 115.09; Fulton County; Georgia,2422,226453,745,39,13,121,011509,784,0.04974489795918367,1.0,2422.0,35,census_api
Census Tract 115.10; Fulton County; Georgia,5977,238145,2003,57,13,121,011510,2060,0.02766990291262136,1.0,5977.0,35,census_api
Census Tract 115.11; Fulton County; Georgia,2676,201538,653,151,13,121,011511,804,0.18781094527363185,1.0,2676.0,35,census_api
Census Tract 115.12; Fulton County; Georgia,3229,199714,1037,47,13,121,011512,1084,0.043357933579335796,1.0,3229.0,35,census_api
Census Tract 115.13; Fulton County; Georgia,3492,187619,1096,12,13,121,011513,1108,0.010830324909747292,1.0,3492.0,35,census_api
Census Tract 115.14; Fulton County; Georgia,3095,182394,1037,90,13,121,011514,1127,0.07985803016858918,1.0,3095.0,35,census_api
Census Tract 115.15; Fulton County; Georgia,2511,243304,744,33,13,121,011515,777,0.04247104247104247,1.0,2511.0,35,census_api
Census Tract 116.12; Fulton County; Georgia,3523,186786,1167,43,13,121,011612,1210,0.03553719008264463,1.0,3523.0,35,census_api
Census Tract 116.18; Fulton County; Georgia,4826,149881,1148,480,13,121,011618,1628,0.29484029484029484,1.0,4826.0,35,census_api
Census Tract 116.24; Fulton County; Georgia,4050,227604,1147,26,13,121,011624,1173,0.02216538789428815,1.0,4050.0,35,census_api
Census Tract 116.27; Fulton County; Georgia,3980,94259,1064,520,13,121,011627,1584,0.3282828282828283,1.0,3980.0,35,census_api
Census Tract 116.28; Fulton County; Georgia,3527,144162,409,798,13,121,011628,1207,0.6611433305716653,1.0,3527.0,35,census_api
Census Tract 116.29; Fulton County; Georgia,4367,191373,1309,16,13,121,011629,1325,0.012075471698113207,1.0,4367.0,35,census_api
Census Tract 116.30; Fulton County; Georgia,3347,147564,881,349,13,121,011630,1230,0.283739837398374,1.0,3347.0,35,census_api
Census Tract 116.31; Fulton County; Georgia,6609,103224,1082,1023,13,121,011631,2105,0.4859857482185273,1.0,6609.0,35,census_api
Census Tract 116.32; Fulton County; Georgia,3444,143527,718,504,13,121,011632,1222,0.41243862520458263,1.0,3444.0,35,census_api
Census Tract 116.33; Fulton County; Georgia,3489,155435,1053,149,13,121,011633,1202,0.12396006655574043,1.0,3489.0,35,census_api
Census Tract 116.34; Fulton County; Georgia,2656,90469,463,444,13,121,011634,907,0.4895259095920617,1.0,2656.0,35,census_api
Census Tract 116.35; Fulton County; Georgia,3131,173590,1082,27,13,121,011635,1109,0.024346257889990983,1.0,3131.0,35,census_api
Census Tract 116.36; Fulton County; Georgia,1900,100769,79,775,13,121,011636,854,0.9074941451990632,1.0,1900.0,35,census_api
Census Tract 116.37; Fulton County; Georgia,2445,204654,752,249,13,121,011637,1001,0.24875124875124874,1.0,2445.0,35,census_api
Census Tract 116.38; Fulton County; Georgia,4253,119842,1304,212,13,121,011638,1516,0.13984168865435356,1.0,4253.0,35,census_api
Census Tract 116.39; Fulton County; Georgia,2199,112679,180,638,13,121,011639,818,0.7799511002444988,1.0,2199.0,35,census_api
Census Tract 116.40; Fulton County; Georgia,5238,116908,1071,1059,13,121,011640,2130,0.4971830985915493,1.0,5238.0,35,census_api
Census Tract 116.41; Fulton County; Georgia,4994,242799,1464,82,13,121,011641,1546,0.05304010349288486,1.0,4994.0,35,census_api
Census Tract 116.42; Fulton County; Georgia,3301,138846,896,360,13,121,011642,1256,0.28662420382165604,1.0,3301.0,35,census_api
Census Tract 116.43; Fulton County; Georgia,4376,85590,113,2277,13,121,011643,2390,0.9527196652719665,1.0,4376.0,35,census_api
Census Tract 116.44; Fulton County; Georgia,4128,114028,1229,455,13,121,011644,1684,0.27019002375296913,1.0,4128.0,35,census_api
Census Tract 116.45; Fulton County; Georgia,3364,142372,1069,309,13,121,011645,1378,0.22423802612481858,1.0,3364.0,35,census_api
Census Tract 116.46; Fulton County; Georgia,4225,83869,761,1179,13,121,011646,1940,0.6077319587628865,1.0,4225.0,35,census_api
Census Tract 116.47; Fulton County; Georgia,4987,76375,1169,868,13,121,011647,2037,0.4261168384879725,1.0,4987.0,35,census_api
Census Tract 116.48; Fulton County; Georgia,2348,199922,698,5,13,121,011648,703,0.007112375533428165,1.0,2348.0,35,census_api
Census Tract 116.49; Fulton County; Georgia,5246,171680,1662,284,13,121,011649,1946,0.1459403905447071,1.0,5246.0,35,census_api
Census Tract 116.50; Fulton County; Georgia,4451,166488,1033,594,13,121,011650,1627,0.36508912108174557,1.0,4451.0,35,census_api
Census Tract 116.51; Fulton County; Georgia,1811,144886,390,264,13,121,011651,654,0.4036697247706422,1.0,1811.0,35,census_api
Census Tract 116.52; Fulton County; Georgia,2766,109132,595,542,13,121,011652,1137,0.4766930518909411,1.0,2766.0,35,census_api
Census Tract 116.53; Fulton County; Georgia,3586,243819,1268,11,13,121,011653,1279,0.008600469116497263,1.0,3586.0,35,census_api
Census Tract 116.54; Fulton County; Georgia,2359,132604,633,396,13,121,011654,1029,0.3848396501457726,1.0,2359.0,35,census_api
Census Tract 116.55; Fulton County; Georgia,2571,171875,772,146,13,121,011655,918,0.15904139433551198,1.0,2571.0,35,census_api
Census Tract 116.56; Fulton County; Georgia,3907,178461,1271,58,13,121,011656,1329,0.0436418359668924,1.0,3907.0,35,census_api
Census Tract 116.57; Fulton County; Georgia,3310,191645,901,48,13,121,011657,949,0.0505795574288725,1.0,3310.0,35,census_api
Census Tract 116.58; Fulton County; Georgia,3859,150938,1074,389,13,121,011658,1463,0.265892002734108,1.0,3859.0,35,census_api
Census Tract 116.59; Fulton County; Georgia,2840,172409,701,194,13,121,011659,895,0.21675977653631284,1.0,2840.0,35,census_api
Census Tract 116.60; Fulton County; Georgia,4884,106268,1351,559,13,121,011660,1910,0.2926701570680628,1.0,4884.0,35,census_api
Census Tract 116.61; Fulton County; Georgia,2233,204877,622,61,13,121,011661,683,0.08931185944363104,1.0,2233.0,35,census_api
Census Tract 118.01; Fulton County; Georgia,624,88914,0,404,13,121,011801,404,1.0,1.0,624.0,35,census_api
Census Tract 118.02; Fulton County; Georgia,1447,38250,202,452,13,121,011802,654,0.691131498470948,1.0,1447.0,35,census_api
Census Tract 119.01; Fulton County; Georgia,2085,46157,270,761,13,121,011901,1031,0.7381183317167799,1.0,2085.0,35,census_api
Census Tract 119.02; Fulton County; Georgia,1263,-666666666,53,758,13,121,011902,811,0.9346485819975339,1.0,1263.0,35,census_api
Census Tract 120; Fulton County; Georgia,3683,-666666666,305,1406,13,121,012000,1711,0.8217416715371128,1.0,3683.0,35,census_api
Census Tract 123; Fulton County; Georgia,2400,59914,538,676,13,121,012300,1214,0.556836902800659,1.0,2400.0,35,census_api
